t,star_mass,26al_mass_loss_rate,60fe_mass_loss_rate,star_mass_loss_rate,26al_total_mass_loss,60fe_total_mass_loss,star_total_mass_loss
0.0,2.97432556172,4.37161588173e-16,3.05514441248e-17,7.13028116414e-10,1.57411439377e-08,1.10008448245e-09,0.0256744382758
0.00417264073991,2.97432257916,4.38242525387e-16,3.06269864271e-17,7.14791168444e-10,1.57429725663e-08,1.10021227786e-09,0.0256774208426
0.00834528147988,2.97431958921,4.39327730675e-16,3.07028270079e-17,7.16561181875e-10,1.57448057231e-08,1.10034038973e-09,0.0256804107949
0.0125179222198,2.97431659184,4.40416952704e-16,3.07789483023e-17,7.18337746772e-10,1.57466434248e-08,1.10046881922e-09,0.0256834081603
0.0166905629598,2.97431358703,4.4151021124e-16,3.08553516918e-17,7.20120895374e-10,1.57484856883e-08,1.10059756752e-09,0.0256864129661
0.0208632036997,2.97431057476,4.42607526172e-16,3.09320385662e-17,7.2191066012e-10,1.57503325305e-08,1.1007266358e-09,0.0256894252399
0.0250358444396,2.97430755499,4.4370891751e-16,3.10090103241e-17,7.23707073649e-10,1.57521839684e-08,1.10085602526e-09,0.0256924450095
0.0292084851795,2.9743045277,4.44814405388e-16,3.10862683725e-17,7.25510168798e-10,1.57540400191e-08,1.10098573709e-09,0.0256954723028
0.0333811259195,2.97430149285,4.45924010064e-16,3.11638141271e-17,7.27319978611e-10,1.57559006998e-08,1.10111577249e-09,0.0256985071478
0.0375537666594,2.97429845043,4.4703775192e-16,3.12416490124e-17,7.2913653633e-10,1.57577660278e-08,1.10124613267e-09,0.0257015495726
0.0417264073994,2.97429540039,4.48155651465e-16,3.13197744617e-17,7.30959875408e-10,1.57596360203e-08,1.10137681884e-09,0.0257045996056
0.0458990481393,2.97429234272,4.49277729335e-16,3.13981919171e-17,7.32790029501e-10,1.57615106949e-08,1.10150783221e-09,0.0257076572751
0.0500716888793,2.97428927739,4.50404006292e-16,3.14769028297e-17,7.34627032476e-10,1.5763390069e-08,1.10163917402e-09,0.0257107226098
0.0542443296192,2.97428620436,4.5153450323e-16,3.15559086595e-17,7.36470918407e-10,1.57652741602e-08,1.10177084549e-09,0.0257137956383
0.0584169703591,2.97428312361,4.5266924117e-16,3.16352108757e-17,7.38321721583e-10,1.57671629863e-08,1.10190284786e-09,0.0257168763896
0.062589611099,2.97428003511,4.53808241264e-16,3.17148109564e-17,7.40179476504e-10,1.57690565651e-08,1.10203518237e-09,0.0257199648927
0.066762251839,2.97427693882,4.54951524796e-16,3.17947103892e-17,7.42044217884e-10,1.57709549144e-08,1.10216785028e-09,0.0257230611766
0.0709348925789,2.97427383473,4.56099113183e-16,3.18749106709e-17,7.43915980656e-10,1.57728580521e-08,1.10230085283e-09,0.0257261652707
0.0751075333189,2.9742707228,4.57251027975e-16,3.19554133073e-17,7.45794799968e-10,1.57747659964e-08,1.10243419129e-09,0.0257292772045
0.0792801740588,2.97426760299,4.58407290857e-16,3.20362198141e-17,7.4768071119e-10,1.57766787653e-08,1.10256786692e-09,0.0257323970075
0.0834528147988,2.97426447529,4.59567923649e-16,3.21173317161e-17,7.49573749911e-10,1.57785963771e-08,1.10270188101e-09,0.0257355247095
0.0876254555387,2.97426133966,4.60732948309e-16,3.21987505479e-17,7.51473951944e-10,1.57805188502e-08,1.10283623483e-09,0.0257386603403
0.0917980962786,2.97425819607,4.61902386931e-16,3.22804778535e-17,7.53381353328e-10,1.57824462029e-08,1.10297092966e-09,0.02574180393
0.0959707370185,2.97425504449,4.63076261749e-16,3.23625151868e-17,7.55295990324e-10,1.57843784538e-08,1.10310596681e-09,0.0257449555088
0.100143377759,2.97425188489,4.64254595136e-16,3.24448641113e-17,7.57217899426e-10,1.57863156214e-08,1.10324134758e-09,0.0257481151071
0.104316018498,2.97424871724,4.65437409605e-16,3.25275262004e-17,7.59147117353e-10,1.57882577245e-08,1.10337707326e-09,0.0257512827553
0.108488659238,2.97424554152,4.66624727813e-16,3.26105030375e-17,7.61083681059e-10,1.57902047819e-08,1.10351314517e-09,0.025754458484
0.112661299978,2.97424235768,4.67816572557e-16,3.26937962158e-17,7.63027627729e-10,1.57921568124e-08,1.10364956464e-09,0.0257576423242
0.116833940718,2.97423916569,4.69012966782e-16,3.27774073388e-17,7.64978994783e-10,1.5794113835e-08,1.10378633298e-09,0.0257608343067
0.121006581458,2.97423596554,4.70213933575e-16,3.28613380199e-17,7.66937819879e-10,1.57960758688e-08,1.10392345154e-09,0.0257640344627
0.125179222198,2.97423275718,4.71419496169e-16,3.29455898829e-17,7.68904140912e-10,1.5798042933e-08,1.10406092165e-09,0.0257672428235
0.129351862938,2.97422954058,4.72629677945e-16,3.30301645618e-17,7.70877996017e-10,1.58000150469e-08,1.10419874466e-09,0.0257704594204
0.133524503678,2.97422631571,4.73844502435e-16,3.31150637009e-17,7.72859423574e-10,1.58019922297e-08,1.10433692192e-09,0.0257736842851
0.137697144418,2.97422308255,4.75063993315e-16,3.32002889552e-17,7.74848462202e-10,1.58039745011e-08,1.1044754548e-09,0.0257769174494
0.141869785158,2.97421984105,4.76288174418e-16,3.32858419899e-17,7.76845150771e-10,1.58059618805e-08,1.10461434466e-09,0.0257801589451
0.146042425898,2.9742165912,4.77517069724e-16,3.33717244812e-17,7.78849528394e-10,1.58079543877e-08,1.10475359288e-09,0.0257834088044
0.150215066638,2.97421333294,4.78750703367e-16,3.34579381156e-17,7.80861634437e-10,1.58099520424e-08,1.10489320083e-09,0.0257866670594
0.154387707378,2.97421006626,4.79989099638e-16,3.35444845906e-17,7.82881508516e-10,1.58119548645e-08,1.10503316992e-09,0.0257899337427
0.158560348118,2.97420679111,4.8123228298e-16,3.36313656145e-17,7.849091905e-10,1.58139628739e-08,1.10517350152e-09,0.0257932088868
0.162732988858,2.97420350748,4.82480277993e-16,3.37185829066e-17,7.86944720514e-10,1.58159760908e-08,1.10531419706e-09,0.0257964925244
0.166905629598,2.97420021531,4.83733109437e-16,3.38061381971e-17,7.8898813894e-10,1.58179945353e-08,1.10545525793e-09,0.0257997846884
0.171078270337,2.97419691459,4.84990802228e-16,3.38940332274e-17,7.91039486419e-10,1.58200182276e-08,1.10559668555e-09,0.025803085412
0.175250911077,2.97419360527,4.86253381444e-16,3.39822697501e-17,7.93098803855e-10,1.58220471883e-08,1.10573848135e-09,0.0258063947284
0.179423551817,2.97419028733,4.87520872325e-16,3.4070849529e-17,7.95166132412e-10,1.58240814378e-08,1.10588064677e-09,0.025809712671
0.183596192557,2.97418696073,4.88793300272e-16,3.41597743393e-17,7.97241513522e-10,1.58261209966e-08,1.10602318323e-09,0.0258130392734
0.187768833297,2.97418362543,4.9007069085e-16,3.42490459678e-17,7.99324988883e-10,1.58281658855e-08,1.1061660922e-09,0.0258163745694
0.191941474037,2.97418028141,4.91353069791e-16,3.43386662126e-17,8.01416600464e-10,1.58302161254e-08,1.10630937512e-09,0.025819718593
0.196114114777,2.97417692862,4.9264046299e-16,3.44286368835e-17,8.03516390503e-10,1.5832271737e-08,1.10645303345e-09,0.0258230713782
0.200286755517,2.97417356704,4.93932896514e-16,3.45189598022e-17,8.05624401513e-10,1.58343327416e-08,1.10659706867e-09,0.0258264329594
0.204459396257,2.97417019663,4.95230396597e-16,3.46096368021e-17,8.07740676284e-10,1.58363991601e-08,1.10674148225e-09,0.0258298033711
0.208632036997,2.97416681735,4.96532989641e-16,3.47006697284e-17,8.09865257881e-10,1.58384710139e-08,1.10688627568e-09,0.0258331826478
0.212804677737,2.97416342918,4.97840702225e-16,3.47920604383e-17,8.11998189651e-10,1.58405483243e-08,1.10703145044e-09,0.0258365708246
0.216977318477,2.97416003206,4.99153561095e-16,3.48838108014e-17,8.14139515222e-10,1.58426311127e-08,1.10717700805e-09,0.0258399679363
0.221149959217,2.97415662598,5.00471593177e-16,3.49759226991e-17,8.16289278509e-10,1.58447194009e-08,1.10732295001e-09,0.0258433740182
0.225322599957,2.97415321089,5.01794825569e-16,3.50683980253e-17,8.1844752371e-10,1.58468132104e-08,1.10746927784e-09,0.0258467891057
0.229495240697,2.97414978677,5.03123285547e-16,3.51612386863e-17,8.20614295315e-10,1.58489125632e-08,1.10761599306e-09,0.0258502132343
0.233667881436,2.97414635356,5.04457000566e-16,3.52544466007e-17,8.22789638102e-10,1.5851017481e-08,1.1077630972e-09,0.0258536464399
