t,star_mass,26al_mass_loss_rate,60fe_mass_loss_rate,star_mass_loss_rate,26al_total_mass_loss,60fe_total_mass_loss,star_total_mass_loss
0.0,6.88727271156,2.0556701148e-12,4.56418388646e-13,3.83927717774e-08,6.0357746326e-06,1.34011703153e-06,0.11272728844
0.000738837217135,6.88724418111,2.06758709868e-12,4.59064304711e-13,3.86153396102e-08,6.03730224289e-06,1.34045620532e-06,0.11275581889
0.00147767443427,6.88721561271,2.07033743212e-12,4.59674958505e-13,3.86667062781e-08,6.03883188524e-06,1.34079583029e-06,0.112784387292
0.0022165116514,6.88718700628,2.07309340593e-12,4.60286864626e-13,3.87181782885e-08,6.0403635638e-06,1.34113590735e-06,0.112812993723
0.00295534886853,6.88715836174,2.07585503367e-12,4.60900026083e-13,3.87697558945e-08,6.04189728276e-06,1.34147643744e-06,0.112841638262
0.00369418608567,6.88712967901,2.07862232892e-12,4.61514445892e-13,3.88214393501e-08,6.0434330463e-06,1.34181742149e-06,0.112870320986
0.0044330233028,6.88710095803,2.08139530532e-12,4.62130127081e-13,3.88732289098e-08,6.04497085861e-06,1.34215886043e-06,0.112899041974
0.00517186051994,6.88707218477,2.08706923839e-12,4.63389904792e-13,3.89791982558e-08,6.04651146956e-06,1.34250092075e-06,0.112927815231
0.00591069773706,6.88704327822,2.09484305697e-12,4.65115917989e-13,3.91243861632e-08,6.04805921758e-06,1.3428445657e-06,0.112956721784
0.0066495349542,6.88701426374,2.10266455348e-12,4.66852517071e-13,3.92704645287e-08,6.04961274441e-06,1.34318949371e-06,0.112985736265
0.00738837217133,6.88698514073,2.11052917123e-12,4.6859869032e-13,3.94173482493e-08,6.0511720819e-06,1.34353571186e-06,0.113014859268
0.00812720938847,6.88695590861,2.1184372247e-12,4.70354507557e-13,3.95650431979e-08,6.05273726217e-06,1.34388322728e-06,0.113044091395
0.0088660466056,6.88692656675,2.12638903121e-12,4.72120039238e-13,3.97135553012e-08,6.05430831752e-06,1.34423204713e-06,0.113073433247
0.00960488382273,6.88689711457,2.13438491096e-12,4.73895356456e-13,3.98628905395e-08,6.05588528053e-06,1.34458217866e-06,0.113102885435
