t,star_mass,26al_mass_loss_rate,60fe_mass_loss_rate,star_mass_loss_rate,26al_total_mass_loss,60fe_total_mass_loss,star_total_mass_loss
0.0,5.91531109944,4.80998459754e-13,2.91671478481e-13,1.8137826039e-08,2.24587172906e-06,1.36186865968e-06,0.08468890056
0.000935396412501,5.91529407858,4.82552176138e-13,2.92613632755e-13,1.81964146621e-08,2.24632310664e-06,1.36214236942e-06,0.084705921421
0.00187079282499,5.91527700261,4.84114635629e-13,2.93561088741e-13,1.82553329765e-08,2.24677594573e-06,1.36241696541e-06,0.0847229973939
0.00280618923749,5.91525987126,4.85684576937e-13,2.94513081607e-13,1.83145334203e-08,2.24723025334e-06,1.36269245189e-06,0.0847401287428
0.00374158564998,5.91524268427,4.87262047476e-13,2.95469640106e-13,1.83740177818e-08,2.24768603651e-06,1.36296883313e-06,0.0847573157331
0.00467698206248,5.91522544137,4.88847095036e-13,2.96430793215e-13,1.84337878628e-08,2.24814330233e-06,1.36324611343e-06,0.0847745586321
0.00561237847496,5.91520814229,4.90439767785e-13,2.97396570145e-13,1.84938454798e-08,2.24860205793e-06,1.36352429712e-06,0.0847918577089
0.00654777488747,5.91519078677,4.92040114271e-13,2.98367000333e-13,1.85541924634e-08,2.24906231049e-06,1.36380338854e-06,0.0848092132339
0.00748317129995,5.91517337452,4.93648183428e-13,2.99342113452e-13,1.86148306588e-08,2.24952406723e-06,1.36408339208e-06,0.0848266254797
0.00841856771245,5.91515590528,4.95264024577e-13,3.0032193941e-13,1.8675761926e-08,2.24998733542e-06,1.36436431214e-06,0.0848440947204
0.00935396412494,5.91513837877,4.96887687431e-13,3.01306508354e-13,1.87369881395e-08,2.25045212238e-06,1.36464615317e-06,0.0848616212319
0.0102893605374,5.91512079471,4.98519222101e-13,3.02295850668e-13,1.8798511189e-08,2.25091843547e-06,1.36492891963e-06,0.0848792052919
0.0112247569499,5.91510315282,5.00158679095e-13,3.03289996981e-13,1.88603329789e-08,2.25138628211e-06,1.365212616e-06,0.0848968471797
0.0121601533624,5.91508545282,5.01806109327e-13,3.04288978166e-13,1.89224554293e-08,2.25185566974e-06,1.36549724682e-06,0.0849145471766
0.0130955497749,5.91506769443,5.03461564115e-13,3.05292825342e-13,1.89848804753e-08,2.25232660588e-06,1.36578281663e-06,0.0849323055657
0.0140309461874,5.91504987737,5.05125095191e-13,3.06301569879e-13,1.90476100676e-08,2.25279909808e-06,1.36606933002e-06,0.0849501226318
0.0149663425999,5.91503200134,5.067967547e-13,3.07315243397e-13,1.91106461725e-08,2.25327315395e-06,1.3663567916e-06,0.0849679986617
0.0159017390124,5.91501406606,5.08476595209e-13,3.0833387777e-13,1.91739907723e-08,2.25374878113e-06,1.366645206e-06,0.0849859339439
0.0168371354249,5.91499607123,5.10164669705e-13,3.09357505132e-13,1.9237645865e-08,2.25422598733e-06,1.3669345779e-06,0.0850039287688
0.0177725318374,5.91497801657,5.11861031605e-13,3.10386157871e-13,1.93016134649e-08,2.25470478031e-06,1.367224912e-06,0.0850219834288
0.0187079282499,5.91495990178,5.13565734753e-13,3.1141986864e-13,1.93658956025e-08,2.25518516785e-06,1.36751621303e-06,0.085040098218
0.0196433246624,5.91494172657,5.15278833434e-13,3.12458670355e-13,1.94304943246e-08,2.25566715782e-06,1.36780848575e-06,0.0850582734327
0.0205787210749,5.91492349063,5.17000382369e-13,3.13502596199e-13,1.94954116949e-08,2.25615075813e-06,1.36810173495e-06,0.0850765093709
0.0215141174874,5.91490519367,5.18730436724e-13,3.14551679624e-13,1.95606497934e-08,2.25663597672e-06,1.36839596546e-06,0.0850948063325
0.0224495138999,5.91488683538,5.20469052114e-13,3.15605954354e-13,1.96262107175e-08,2.2571228216e-06,1.36869118214e-06,0.0851131646196
0.0233849103124,5.91486841546,5.22216284604e-13,3.16665454387e-13,1.96920965812e-08,2.25761130084e-06,1.36898738987e-06,0.0851315845361
