vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,Mo97,3.9811e-09,4.5722e-09,6.175e-09,8.1378e-09,9.8662e-09,1.3789e-08,2.2808e-08,3.2889e-08,5.3113e-08
300,0,Mo98,1.0222e-08,1.1756e-08,1.5928e-08,2.0978e-08,2.5454e-08,3.5626e-08,5.8866e-08,8.5124e-08,1.3714e-07
300,0,Xe132,3.421e-08,3.9233e-08,5.2813e-08,6.918e-08,8.3743e-08,1.1648e-07,1.9288e-07,2.7854e-07,4.5207e-07
300,0,Xe133,3.4389e-34,5.456199999999999e-26,1.1628e-33,8.2807e-34,1.5884000000000002e-33,1.6635e-33,4.2767e-34,5.0799e-34,5.9451e-34
300,0,Xe134,1.2821e-08,1.4685e-08,1.9733e-08,2.5901e-08,3.1342e-08,4.359e-08,7.2241e-08,1.0402e-07,1.6903e-07
300,0,Xe135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Cs133,8.9677e-09,1.0263e-08,1.3747e-08,1.7828e-08,2.1541e-08,2.9689e-08,4.9115e-08,7.1459e-08,1.1688e-07
300,0,Cs134,1.0411000000000001e-31,1.1751e-23,3.0984e-31,2.5018e-31,4.7475e-31,5.0302e-31,1.3455e-31,1.5971000000000002e-31,1.8689e-31
300,0,Cs135,2.1258e-12,4.9847e-12,1.3629e-11,2.5892e-11,3.5864e-11,7.0904e-11,1.3846e-10,1.5978e-10,1.6758e-10
300,0,Cs136,2.2932e-36,2.6977e-27,3.8687000000000005e-35,5.503e-36,1.4347e-35,1.6049000000000002e-35,7.439599999999999e-40,1.9749999999999997e-40,7.2558e-39
300,0,Cs137,0.0,1.0414e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Cs138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ba134,2.8177e-09,3.2819e-09,4.5851e-09,6.4346e-09,7.8889e-09,1.1612e-08,1.9299e-08,2.6657e-08,4.1133e-08
300,0,Ba135,7.5549e-09,8.6502e-09,1.1607e-08,1.5067e-08,1.8223e-08,2.5141e-08,4.1506e-08,6.0548e-08,9.887e-08
300,0,Ba136,9.1535e-09,1.0587e-08,1.4523e-08,1.9269e-08,2.347e-08,3.3217e-08,5.4747e-08,7.9079e-08,1.2584e-07
300,0,Ba137,1.3106e-08,1.5055e-08,2.0331e-08,2.6571e-08,3.2188e-08,4.4805e-08,7.4097e-08,1.0732e-07,1.7385e-07
300,0,Ba138,8.4303e-08,9.6781e-08,1.3062e-07,1.7145e-07,2.0771e-07,2.8966e-07,4.794e-07,6.9171e-07,1.1197e-06
300,0,Ba139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,La138,8.8974e-12,1.0205e-11,1.3753e-11,1.806e-11,2.1872e-11,3.0477e-11,5.0463e-11,7.2759e-11,1.1792e-10
