vel,fe/h,isotope,a0,a1,a2
300,0,Al26,3.57992e-03,-1.03241e-01,-3.61135e+00
300,0,Cl36,-8.25757e-03,3.23139e-01,-7.90324e+00
300,0,Ca41,6.27820e-03,-2.86507e-01,-1.24161e+00
300,0,Mn53,-9.19223e-03,3.07315e-01,-6.10342e+00
300,0,Fe60,-1.44020e-02,5.28506e-01,-8.90408e+00
300,0,Nb92,-2.37086e-02,9.54994e-01,-1.87645e+01
300,0,Cs135,-3.04148e-02,1.13596e+00,-1.78846e+01
300,0,Pb205,-3.89114e-03,1.95759e-01,-1.10043e+01
