vel,fe/h,isotope,13m,15m,20m,25m
300,0,Kr78,1.584667e-07,2.03676e-07,9.592652e-07,2.5200600000000004e-07
300,0,Kr79,5.0211e-09,5.9709e-09,3.906e-08,1.1043e-08
300,0,Kr80,9.85752e-07,2.82009e-06,9.662316e-06,4.508869e-06
300,0,Kr81,2.7598503900000003e-07,8.2929737e-07,1.15881367e-06,1.047903e-06
300,0,Kr82,4.465288e-06,1.455015e-05,2.435889e-05,1.167594e-05
300,0,Kr83,2.062268e-06,6.92976e-06,1.6405309999999998e-05,6.9811800000000005e-06
300,0,Kr84,8.14569e-06,3.004663e-05,4.161114e-05,2.022658e-05
300,0,Kr85,2.1822e-06,7.524999999999999e-06,9.9184e-06,4.505e-06
300,0,Kr86,5.1160100000000005e-06,1.9601170000000003e-05,4.8859240000000004e-05,1.211159e-05
300,0,Kr87,6.5542e-11,6.3403e-11,8.0854e-09,5.2076e-11
300,0,Rb79,1.2556e-18,1.0562e-16,9.4819e-16,2.6166e-16
300,0,Rb80,1.4435e-28,8.064799999999999e-22,1.0771e-17,2.0424e-18
300,0,Rb81,3.8314e-11,1.8278e-11,3.3865e-11,1.5511e-11
300,0,Rb82,1.4014e-11,7.2193e-12,9.4646e-12,1.3468e-11
300,0,Rb83,8.8763e-09,1.5608e-08,5.2862e-08,1.8239e-08
300,0,Rb84,5.5152e-10,1.0724e-09,3.2591e-09,1.6823e-09
300,0,Rb85,7.703599999999999e-07,3.25618e-06,6.43506e-06,2.7689600000000003e-06
300,0,Rb86,2.5715e-07,1.2787e-06,1.8882e-06,4.7863e-07
300,0,Rb87,2.065461e-06,9.723038e-06,2.762608e-05,6.047252e-06
300,0,Rb88,2.9202e-14,2.1139e-13,4.5163e-12,1.1482e-12
300,0,Sr84,1.320446e-07,5.353977e-07,1.3560371000000001e-06,3.086197e-07
300,0,Sr85,4.118e-09,2.142e-08,7.5609e-08,1.6981e-08
300,0,Sr86,1.6196070000000001e-06,6.468704e-06,1.0727367000000001e-05,5.109024e-06
300,0,Sr87,1.082087e-06,4.4452889999999995e-06,5.966509e-06,3.0156400000000002e-06
300,0,Sr88,8.37193e-06,4.30129e-05,7.555795000000001e-05,1.898925e-05
300,0,Sr89,4.3927e-07,3.1023e-06,5.2126e-06,1.6704e-07
300,0,Sr90,1.9608e-07,1.1514e-06,7.2248e-06,9.6612e-08
300,0,Sr91,1.0347e-09,4.0949e-10,4.4528e-07,1.1975e-10
300,0,Y85,8.0467e-13,6.3991e-13,8.5644e-13,1.8766e-13
300,0,Y86,3.0344e-12,2.9942e-12,4.0882e-12,1.0053e-12
300,0,Y87,9.4331e-10,1.1568e-09,2.0553e-09,4.8513e-10
300,0,Y88,7.8817e-10,1.5978e-09,3.3988e-09,9.5713e-10
300,0,Y89,1.245562e-06,5.9208539999999995e-06,9.963159999999999e-06,3.1309e-06
300,0,Y90,3.6773e-09,3.3456e-08,6.6331e-08,2.7696e-08
300,0,Y91,4.5381e-08,8.3687e-08,1.1754e-06,9.1157e-08
300,0,Zr90,8.5474e-07,5.0474399999999996e-06,8.31044e-06,1.8098999999999998e-06
300,0,Zr91,2.22801e-07,1.483729e-06,1.718875e-06,3.54695e-07
300,0,Zr92,3.04916e-07,2.138323e-06,2.574843e-06,5.33366e-07
300,0,Zr93,8.2337845e-08,5.96382294e-07,6.709802900000001e-07,1.3659921e-07
300,0,Zr94,1.8273699999999998e-07,1.298537e-06,1.5285570000000002e-06,2.94342e-07
300,0,Zr95,2.8149e-08,2.8066e-07,3.1524e-07,1.3143e-08
300,0,Zr96,5.6552e-08,5.1301e-07,9.4613e-07,3.1413e-08
300,0,Zr97,7.8381e-11,2.2459e-11,1.0579e-08,7.0815e-12
300,0,Nb91,4.7639e-10,1.4602e-09,4.5587e-09,1.3705e-09
300,0,Nb92,3.8039e-11,2.1511e-10,6.1809e-10,2.0432e-10
300,0,Nb93,6.490000000000014e-10,1.7990000000000017e-09,6.216000000000001e-09,2.2060000000000033e-09
300,0,Nb94,2.79649999916866e-11,1.0592999998538e-10,3.5246999998853003e-10,1.18469999940442e-10
300,0,Nb95,2.2718e-09,8.654e-09,1.0056e-08,2.4503e-09
300,0,Nb96,9.8902e-12,4.4193e-11,1.4028e-10,1.4024e-10
300,0,Nb97,7.7844e-12,3.0054e-12,8.0249e-10,1.51e-11
300,0,Mo92,4.5392e-09,1.5218499999999998e-08,1.092854e-07,3.0164e-08
300,0,Mo93,1.7824999950561e-10,6.82779973794e-10,5.433699973268e-09,1.438999908156e-09
300,0,Mo94,3.1914999999999996e-09,1.0488000000000001e-08,7.48516e-08,2.0101600000000002e-08
300,0,Mo95,4.7042e-09,1.7971300000000002e-08,1.73158e-08,1.9218999999999998e-08
300,0,Mo96,1.7081e-08,7.448e-08,1.1244999999999999e-07,5.5362e-08
300,0,Mo97,6.243900000000001e-09,3.76428e-08,4.2087e-08,1.61682e-08
300,0,Mo98,1.9037e-08,1.1877399999999999e-07,1.2961199999999998e-07,4.4918999999999993e-08
300,0,Xe132,3.7281e-08,2.32237e-07,2.62707e-07,9.502e-08
300,0,Xe133,3.201e-09,4.3308e-08,4.4747e-08,3.7781e-09
300,0,Xe134,1.3128e-08,1.23135e-07,1.39657e-07,1.5081e-08
300,0,Xe135,4.5841e-10,2.9088e-10,1.9896e-08,2.3935e-10
300,0,Cs133,4.5383e-09,1.8689e-08,2.3711999999999998e-08,1.0119e-08
300,0,Cs134,7.7673e-10,2.8544999999999884e-09,4.4664e-09,1.2384e-09
300,0,Cs135,4.9806742e-09,2.44290153e-08,4.2168371e-08,3.295008e-09
300,0,Cs136,2.0887e-09,1.254e-08,1.4693e-08,4.6154e-10
300,0,Cs137,1.1904e-08,8.8387e-08,7.8307e-08,2.8619e-09
300,0,Cs138,2.1904e-17,1.8912e-16,1.9979e-14,1.2903e-17
300,0,Ba134,8.186300000000001e-09,3.73581e-08,4.80089e-08,2.6107400000000002e-08
300,0,Ba135,2.8711e-09,1.38708e-08,1.4612000000000002e-08,8.146000000000002e-09
300,0,Ba136,2.3624499999999998e-08,1.1776300000000001e-07,1.42627e-07,6.5803e-08
300,0,Ba137,1.7622000000000004e-08,9.0785e-08,1.0405899999999999e-07,4.2022e-08
300,0,Ba138,1.3076700000000002e-07,5.79339e-07,6.845800000000001e-07,2.9575e-07
300,0,Ba139,8.3525e-13,1.7753e-12,9.677e-12,8.7338e-13
300,0,La138,4.5506000000000004e-12,7.696999999999998e-12,9.059000000000002e-12,9.858000000000001e-12
300,0,La139,1.48351e-08,5.574e-08,5.8441999999999995e-08,3.078e-08
300,0,La140,1.9836e-11,3.6134e-11,1.7139e-10,8.8504e-12
300,0,Ce140,2.4193e-08,7.111999999999999e-08,8.3174e-08,5.332099999999999e-08
300,0,Ce141,2.3967e-09,1.2777e-08,1.1792e-08,3.5365e-10
300,0,Pr141,1.7139e-09,3.4375e-09,5.1564e-09,6.8206e-09
300,0,Pr142,3.5557e-11,5.9518e-11,3.5999e-10,2.0434e-11
300,0,Nd142,6.219300000000001e-09,1.3373700000000001e-08,2.2076600000000005e-08,2.3071e-08
300,0,Nd143,5.768999999999999e-10,1.2250999999999998e-09,1.4985000000000002e-09,1.5477000000000004e-09
300,0,Nd144,1.7845000000000002e-09,3.849e-09,4.5877e-09,4.753000000000001e-09
300,0,Hg202,3.3789000000000004e-09,6.9527e-09,8.827900000000001e-09,8.477999999999998e-09
300,0,Hg203,1.6938e-10,8.9616e-10,1.3324e-09,1.0562e-10
300,0,Hg204,3.283e-10,7.681000000000003e-10,4.3941e-09,7.669999999999995e-11
300,0,Hg205,1.3996e-19,6.6925e-19,4.9843e-17,1.2812e-17
300,0,Tl203,1.6101999999999997e-09,2.6813000000000002e-09,3.3261e-09,4.6158e-09
300,0,Tl204,4.2565e-10,4.834099999999971e-10,7.9028e-10,3.5049e-10
300,0,Tl205,2.7380000000000003e-09,4.0965e-09,5.707299999999999e-09,3.5280000000000002e-09
300,0,Tl206,1.9326e-16,1.0059e-16,1.8101e-16,1.2505e-15
300,0,Pb204,1.59e-09,3.6406e-09,4.5856e-09,6.755599999999999e-09
300,0,Pb205,6.5911999945821e-10,1.4593999994247998e-09,1.9632999990279e-09,2.9899999969361997e-09
300,0,Pb206,1.1512999999999999e-08,1.9152e-08,2.4961000000000004e-08,2.7875e-08
300,0,Pb207,1.0401000000000002e-08,1.5695000000000003e-08,2.1917e-08,2.3675e-08
300,0,Pb208,2.3458999999999992e-08,3.2302999999999995e-08,5.318999999999999e-08,5.2731e-08
300,0,Pb209,1.0061e-14,1.386e-14,5.9626e-14,2.2298e-14
300,0,Bi208,3.7584e-10,9.5697e-10,1.1785e-09,1.284e-09
300,0,Bi209,1.6536000000000002e-09,1.9788000000000007e-09,2.4063e-09,3.564999999999999e-09
